date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:07:15	23424/23424	---M--	200	added ('OK')	application/font-woff	etag:%225b80-5497ec5372220%22	http://maniac.yakuzi.eu/assets/plugins/bootstrap/fonts/glyphicons-halflings-regular.woff	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://maniac.yakuzi.eu/assets/plugins/bootstrap/css/bootstrap.min.css)
13:07:19	45404/45404	---M--	200	added ('OK')	application/font-sfnt	etag:%22b15c-5497ec533a780%22	http://maniac.yakuzi.eu/assets/plugins/bootstrap/fonts/glyphicons-halflings-regular.ttf	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from http://maniac.yakuzi.eu/assets/plugins/bootstrap/css/bootstrap.min.css)
13:07:24	333834/333834	---M--	200	added ('OK')	image/svg+xml	etag:%225180a-5497ecf248549%22	http://maniac.yakuzi.eu/assets/plugins/ionicons/fonts/ionicons.svg?v=2.0.0	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/ionicons/fonts/ionicons28b5.svg	(from http://maniac.yakuzi.eu/assets/plugins/ionicons/css/ionicons.min.css)
13:07:29	67904/67904	---M--	200	added ('OK')	application/font-woff	etag:%2210940-5497ecf328f0c%22	http://maniac.yakuzi.eu/assets/plugins/ionicons/fonts/ionicons.woff?v=2.0.0	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/ionicons/fonts/ionicons28b5.woff	(from http://maniac.yakuzi.eu/assets/plugins/ionicons/css/ionicons.min.css)
13:07:34	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ed5f-5497ecc6a46b5%22	http://maniac.yakuzi.eu/assets/plugins/font-awesome/fonts/fontawesome-webfont.eot?v=4.3.0	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/font-awesome/fonts/fontawesome-webfonte0a5.eot	(from http://maniac.yakuzi.eu/assets/plugins/font-awesome/css/font-awesome.min.css)
13:07:37	56780/56780	---M--	200	added ('OK')	text/html	etag:%22ddcc-5497ecc811a7a%22	http://maniac.yakuzi.eu/assets/plugins/font-awesome/fonts/fontawesome-webfont.woff2?v=4.3.0	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/font-awesome/fonts/fontawesome-webfonte0a5.html	(from http://maniac.yakuzi.eu/assets/plugins/font-awesome/css/font-awesome.min.css)
13:07:37	120724/120724	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221d794-5497ecf1f4588%22	http://maniac.yakuzi.eu/assets/plugins/ionicons/fonts/ionicons.eot?v=2.0.0	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/ionicons/fonts/ionicons28b5.eot	(from http://maniac.yakuzi.eu/assets/plugins/ionicons/css/ionicons.min.css)
13:07:41	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ed5f-5497ecc6a46b5%22	http://maniac.yakuzi.eu/assets/plugins/font-awesome/fonts/fontawesome-webfont.eot?	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://maniac.yakuzi.eu/assets/plugins/font-awesome/css/font-awesome.min.css)
13:07:46	313398/313398	---M--	200	added ('OK')	image/svg+xml	etag:%224c836-5497ecc6f3856%22	http://maniac.yakuzi.eu/assets/plugins/font-awesome/fonts/fontawesome-webfont.svg?v=4.3.0	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/font-awesome/fonts/fontawesome-webfonte0a5.svg	(from http://maniac.yakuzi.eu/assets/plugins/font-awesome/css/font-awesome.min.css)
13:07:47	416/416	---M-Z	200	added ('OK')	text/css	etag:%221a0-5497ec6876fcc-gzip%22	http://maniac.yakuzi.eu/assets/plugins/bootstrapValidator/bootstrapValidator.min.css	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/bootstrapValidator/bootstrapValidator.min.css	(from http://maniac.yakuzi.eu/login.html)
13:07:48	682/682	---M-Z	200	added ('OK')	text/css	etag:%222aa-5497ed00976d7-gzip%22	http://maniac.yakuzi.eu/assets/plugins/switchery/switchery.min.css	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/switchery/switchery.min.css	(from http://maniac.yakuzi.eu/login.html)
13:07:50	55991/55991	---M-Z	200	added ('OK')	application/javascript	etag:%22dab7-5497ec68bb58b-gzip%22	http://maniac.yakuzi.eu/assets/plugins/bootstrapValidator/bootstrapValidator.min.js	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/bootstrapValidator/bootstrapValidator.min.js	(from http://maniac.yakuzi.eu/login.html)
13:07:51	71508/71508	---M--	200	added ('OK')	application/font-woff	etag:%2211754-5497ecc782198%22	http://maniac.yakuzi.eu/assets/plugins/font-awesome/fonts/fontawesome-webfont.woff?v=4.3.0	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/font-awesome/fonts/fontawesome-webfonte0a5.woff	(from http://maniac.yakuzi.eu/assets/plugins/font-awesome/css/font-awesome.min.css)
